City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Benguela,AO,-12.5763,13.4055,68.56,89,35,2.98,scattered clouds
80,Punta Arenas,CL,-53.15,-70.9167,32.02,86,20,8.05,few clouds
81,Matara,LK,5.9485,80.5353,76.57,91,44,7.85,scattered clouds
82,Bredasdorp,ZA,-34.5322,20.0403,52.12,95,100,3.96,overcast clouds
83,Torbay,CA,47.6666,-52.7314,71.76,83,75,5.75,broken clouds
84,San Carlos Del Zulia,VE,9.0,-71.9135,92.62,46,10,1.54,clear sky
85,Tautira,PF,-17.7333,-149.15,75.6,70,62,21.61,light rain
86,Longyearbyen,SJ,78.2186,15.6401,55.24,71,75,20.71,broken clouds
87,Shimoda,JP,34.6667,138.95,74.1,92,100,9.75,light rain
88,Conceicao Do Araguaia,BR,-8.2578,-49.2647,96.67,22,0,4.56,clear sky
89,Muli,MV,2.9167,73.5667,83.44,73,100,9.24,overcast clouds
90,Kantunilkin,MX,21.0917,-87.45,96.55,35,77,6.91,broken clouds
91,Busselton,AU,-33.65,115.3333,59.14,62,100,1.19,overcast clouds
92,San Patricio,US,28.017,-97.5169,91.26,53,100,16.91,overcast clouds
93,Trairi,BR,-3.2778,-39.2689,82.89,64,99,11.63,overcast clouds
94,Bethel,US,41.3712,-73.414,86.65,42,40,0.0,scattered clouds
95,Nizhnyaya Tavda,RU,57.6731,66.1725,65.84,96,100,5.28,light rain
96,Evensk,RU,61.95,159.2333,59.54,76,0,3.11,clear sky
97,Airai,TL,-8.9266,125.4092,53.31,88,100,3.4,overcast clouds
98,Brownwood,US,31.7093,-98.9912,100.4,37,40,4.61,scattered clouds
99,Sehwan,PK,26.4279,67.863,83.95,74,100,13.13,light rain
100,Elban,RU,50.1018,136.5094,62.22,92,100,5.19,overcast clouds
101,Mar Del Plata,AR,-38.0023,-57.5575,53.62,94,100,10.36,light intensity drizzle
102,Leshukonskoye,RU,64.8989,45.7622,63.39,98,100,6.6,light rain
103,Grindavik,IS,63.8424,-22.4338,52.27,93,100,20.71,moderate rain
104,Bambous Virieux,MU,-20.3428,57.7575,70.05,88,75,12.66,light rain
105,Ciudad Bolivar,VE,8.1222,-63.5497,86.52,62,79,1.3,broken clouds
106,Carnarvon,AU,-24.8667,113.6333,64.99,71,0,13.91,clear sky
107,Rodbyhavn,DK,54.6544,11.352,62.15,62,100,18.07,overcast clouds
108,Ikalamavony,MG,-21.15,46.5833,56.16,86,8,6.8,clear sky
109,Hilo,US,19.7297,-155.09,88.29,82,100,8.05,overcast clouds
110,Ahipara,NZ,-35.1667,173.1667,53.78,68,100,9.71,overcast clouds
111,Mahebourg,MU,-20.4081,57.7,70.09,88,75,12.66,broken clouds
112,Bani Walid,LY,31.7566,13.9942,79.25,43,0,14.43,clear sky
113,Cockburn Town,TC,21.4612,-71.1419,76.96,88,100,11.5,overcast clouds
114,Corrales,US,35.2378,-106.6067,95.11,29,2,5.99,clear sky
115,Ponta Do Sol,PT,32.6667,-17.1,77.0,76,10,5.26,clear sky
116,Pula,HR,44.8683,13.8481,81.16,50,0,4.61,clear sky
117,Camacha,PT,33.0833,-16.3333,69.22,68,75,11.5,broken clouds
118,Nome,US,64.5011,-165.4064,57.27,54,100,10.36,overcast clouds
119,Aksarka,RU,66.5606,67.7975,58.55,54,59,9.51,broken clouds
120,Codrington,AU,-38.2667,141.9667,50.63,56,100,18.23,light rain
121,Alta Floresta,BR,-9.8756,-56.0861,94.82,36,40,5.75,scattered clouds
122,Khani,GE,41.9563,42.9566,62.17,92,1,1.43,clear sky
123,Caravelas,BR,-17.7125,-39.2481,75.42,68,4,7.18,clear sky
124,Oranjemund,NA,-28.55,16.4333,64.96,40,0,4.41,clear sky
125,Turukhansk,RU,65.8167,87.9833,54.0,77,100,6.6,overcast clouds
126,Chingirlau,KZ,51.095,54.0814,69.66,59,0,7.74,clear sky
127,Ossora,RU,59.2353,163.0719,55.74,85,86,6.33,overcast clouds
128,Provideniya,RU,64.3833,-173.3,46.47,77,91,2.37,overcast clouds
129,Kahului,US,20.8947,-156.47,82.42,66,40,13.8,scattered clouds
130,Port Keats,AU,-14.25,129.55,61.56,58,13,8.01,few clouds
131,Atuona,PF,-9.8,-139.0333,76.59,75,2,12.71,clear sky
132,Namibe,AO,-15.1961,12.1522,66.83,82,100,9.22,overcast clouds
133,Kilindoni,TZ,-7.9139,39.6668,76.39,80,100,19.42,light rain
134,Sao Filipe,CV,14.8961,-24.4956,75.42,77,100,4.68,overcast clouds
135,Chicama,PE,-7.8447,-79.1469,61.34,60,14,11.92,few clouds
136,San Cristobal,VE,7.7669,-72.225,75.38,56,28,6.46,scattered clouds
137,Nikolskoye,RU,59.7035,30.7861,60.69,92,41,4.79,scattered clouds
138,Madang,PG,-5.2246,145.7966,74.61,96,100,1.39,overcast clouds
139,Berlevag,NO,70.8578,29.0864,62.6,72,38,0.0,scattered clouds
140,Whitehorse,CA,60.7161,-135.0538,54.37,90,100,3.44,overcast clouds
141,Durham,US,36.0335,-78.8664,92.17,64,75,5.75,broken clouds
142,Sao Pedro Do Sul,BR,-29.6206,-54.1789,65.05,78,27,9.84,scattered clouds
143,Praia,CV,14.9215,-23.5087,81.14,61,20,17.27,few clouds
144,Naryan-Mar,RU,67.6713,53.087,70.12,77,72,9.1,broken clouds
145,Casablanca,MA,33.5928,-7.6192,79.02,78,75,6.91,broken clouds
146,Leningradskiy,RU,69.3833,178.4167,38.44,73,100,4.52,overcast clouds
147,Castro,BR,-24.7911,-50.0119,69.89,56,100,9.93,overcast clouds
148,Lompoc,US,34.6391,-120.4579,88.7,69,0,9.22,clear sky
149,Realeza,BR,-25.7689,-53.5325,74.89,51,100,8.48,overcast clouds
150,Gold Coast,AU,-28.0,153.4333,51.01,87,0,1.14,clear sky
151,Port Elizabeth,ZA,-33.918,25.5701,59.31,92,0,9.22,clear sky
152,Kavaratti,IN,10.5669,72.642,81.19,84,68,16.89,broken clouds
153,Tura,IN,25.5198,90.2201,76.59,92,6,4.09,heavy intensity rain
154,Yar-Sale,RU,66.8333,70.8333,53.4,60,0,9.1,clear sky
155,Oussouye,SN,12.485,-16.5469,86.18,75,100,10.33,overcast clouds
156,Cidreira,BR,-30.1811,-50.2056,62.15,98,100,8.88,overcast clouds
157,Cap Malheureux,MU,-19.9842,57.6142,67.46,88,82,3.0,moderate rain
158,Filingue,NE,14.3521,3.3168,99.36,30,100,6.55,overcast clouds
159,Butaritari,KI,3.0707,172.7902,81.81,81,100,18.21,moderate rain
160,Coolum Beach,AU,-26.5333,153.1,50.34,96,3,8.55,clear sky
161,Omboue,GA,-1.5746,9.2618,71.26,85,1,6.46,clear sky
162,Tiassale,CI,5.8983,-4.8283,73.38,97,36,4.94,scattered clouds
163,Khatanga,RU,71.9667,102.5,51.28,66,18,6.06,few clouds
