City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
157,Cap Malheureux,MU,67.46,moderate rain,-19.9842,57.6142,Pereybere Hotel & Spa
159,Butaritari,KI,81.81,moderate rain,3.0707,172.7902,Isles Sunset Lodge
161,Omboue,GA,71.26,clear sky,-1.5746,9.2618,Hotel Olako
162,Tiassale,CI,73.38,scattered clouds,5.8983,-4.8283,Hotel des hotes
165,Broome,US,82.69,clear sky,42.2506,-75.833,Chenango Valley State Park
168,Karlovo,BG,83.61,clear sky,42.6333,24.8,Hotel Shterev Karlovo
170,San Quintin,MX,73.44,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
173,Gat,IL,80.82,clear sky,31.61,34.7642,OlusHome
178,Tomakomai,JP,66.34,light intensity shower rain,42.6369,141.6033,Hotel Wing International Tomakomai
179,Marsh Harbour,BS,82.83,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
182,Quatre Cocos,MU,69.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
183,Saint-Philippe,RE,65.79,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
185,Otaru,JP,66.02,light rain,43.1894,141.0022,GRAND PARK OTARU
188,Lodja,CD,79.88,broken clouds,-3.4833,23.4333,
189,Adre,TD,73.72,heavy intensity rain,13.4667,22.2,
193,Sault Sainte Marie,CA,72.16,clear sky,46.5168,-84.3333,Comfort Inn
194,Cayenne,GF,77.09,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
197,Inhambane,MZ,67.98,scattered clouds,-23.865,35.3833,Oceano
199,Maridi,SS,67.84,broken clouds,4.9158,29.4742,
201,Cabatuan,PH,76.32,overcast clouds,10.8794,122.486,MVC Transient Room
202,Saint-Pierre,RE,68.92,few clouds,-21.3393,55.4781,Alize Plage
204,Guerrero Negro,MX,76.64,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
206,Kualakapuas,ID,75.31,overcast clouds,-3.0091,114.3876,Guest House Izonk
209,Ribeira Grande,PT,77.4,few clouds,38.5167,-28.7,Quinta da Meia Eira
211,Itarema,BR,82.62,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
212,Manzanillo,CU,87.3,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
213,Takoradi,GH,75.87,broken clouds,4.8845,-1.7554,Raybow International Hotel
214,Tumpat,MY,78.78,few clouds,6.1978,102.171,Baan Tanyong B&B
218,La Union,PE,80.47,clear sky,-5.4,-80.75,Los Portales
220,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
224,Korla,CN,80.06,overcast clouds,41.7597,86.1469,Gulisitan Hotel
225,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
226,Tra Vinh,VN,75.83,overcast clouds,9.9347,106.3453,Hồng Ân
227,Turbat,PK,87.55,overcast clouds,26.0023,63.044,Mubashar Quarters
229,Sur,OM,89.49,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
231,Bubanza,BI,70.86,scattered clouds,-3.1167,29.4,Maison d'accueil le buissonnet
232,Jacaleapa,HN,83.88,broken clouds,14.0167,-86.6667,Ferretería Los Gemelos / Hostal El Jacal
235,Noumea,NC,68.0,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
236,Mutis,CO,80.37,scattered clouds,6.2262,-77.4044,Paraiso Escondido
239,Abeche,TD,81.75,light rain,13.8292,20.8324,Assaleh Hamdan Haroune
240,Xichang,CN,69.71,overcast clouds,27.8964,102.2634,Xichang ibis Hotel
242,Richmond Hill,CA,82.67,overcast clouds,43.8711,-79.4372,Travelodge by Wyndham Richmond Hill
244,Alugan,PH,78.13,few clouds,12.2188,125.4808,JM Lodge
246,Fortuna,US,68.94,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
247,Ambulu,ID,73.08,clear sky,-8.345,113.6058,Hotel Ambulu Jember
250,Porto Torres,IT,82.58,clear sky,40.835,8.3972,Hotel Elisa
252,San Policarpo,PH,78.57,clear sky,12.1791,125.5072,Agapita M. Nicart
254,Mayskiy,RU,74.61,clear sky,47.6931,40.1025,Dio Lakrua
255,Umm Lajj,SA,86.27,clear sky,25.0213,37.2685,Moon light Furnished Units
256,Lakatoro,VU,76.55,broken clouds,-16.0999,167.4164,Lakatoro Palm Lodge
257,Sabla,NG,78.48,heavy intensity rain,12.7525,4.7077,
259,Iqaluit,CA,71.33,few clouds,63.7506,-68.5145,Frobisher Inn
260,Wajir,KE,73.36,broken clouds,1.7471,40.0573,Mahatallah Hotel
261,Lorengau,PG,79.61,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
262,Bubaque,GW,80.83,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
263,Sokoni,TZ,76.28,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
264,Bejar,ES,87.58,broken clouds,40.3864,-5.7634,Posada Puerta Grande
265,Half Moon Bay,US,80.89,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
266,Isangel,VU,71.71,overcast clouds,-19.55,169.2667,Tanna Lodge
271,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
273,Sao Gabriel Da Cachoeira,BR,87.6,scattered clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
275,Moerai,PF,71.87,scattered clouds,-22.4333,-151.3333,Le Manotel
276,Souris,CA,81.73,clear sky,49.6172,-100.2612,The Souris Hotel
278,Hirakud,IN,77.59,overcast clouds,21.5167,83.8667,VSSUT Guest House
279,Mitsamiouli,KM,75.49,few clouds,-11.3847,43.2844,Foyer ADM
280,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
284,Cabinda,AO,73.54,few clouds,-5.55,12.2,Hotel Maiombe
285,Divnomorskoye,RU,77.63,clear sky,44.5011,38.1353,Primorskiy
286,Conneaut,US,83.5,overcast clouds,41.9476,-80.5542,OYO Hotel Conneaut OH I-90
290,Along,IN,76.1,clear sky,28.1667,94.7667,Hotel West
